"date","value"
2020-04-23 00:00:00,9.4
2020-04-23 01:00:00,8.5
2020-04-23 02:00:00,8.0
2020-04-23 03:00:00,7.6
2020-04-23 04:00:00,7.3
2020-04-23 05:00:00,7.0
2020-04-23 06:00:00,7.6
2020-04-23 07:00:00,8.8
2020-04-23 08:00:00,10.6
2020-04-23 09:00:00,12.2
2020-04-23 10:00:00,13.8
2020-04-23 11:00:00,15.7
2020-04-23 12:00:00,17.6
2020-04-24 00:00:00,9.5
2020-04-24 01:00:00,8.2
2020-04-24 02:00:00,7.9
2020-04-24 03:00:00,7.5
2020-04-24 04:00:00,7.1
2020-04-24 05:00:00,6.8
2020-04-24 06:00:00,7.9
2020-04-24 07:00:00,9.2
2020-04-24 08:00:00,11.1
2020-04-24 09:00:00,12.6
2020-04-24 10:00:00,13.7
2020-04-24 11:00:00,15.0
2020-04-24 12:00:00,16.1
2020-04-25 00:00:00,8.4
2020-04-25 01:00:00,7.3
2020-04-25 02:00:00,6.8
2020-04-25 03:00:00,6.5
2020-04-25 04:00:00,6.3
2020-04-25 05:00:00,6.2
2020-04-25 06:00:00,7.0
2020-04-25 07:00:00,7.3
2020-04-25 08:00:00,8.4
2020-04-25 09:00:00,9.6
2020-04-25 10:00:00,10.8
2020-04-25 11:00:00,11.8
2020-04-25 12:00:00,12.7
2020-04-26 00:00:00,5.8
2020-04-26 01:00:00,4.1
2020-04-26 02:00:00,3.9
2020-04-26 03:00:00,3.7
2020-04-26 04:00:00,3.1
2020-04-26 05:00:00,3.1
2020-04-26 06:00:00,4.9
2020-04-26 07:00:00,7.6
2020-04-26 08:00:00,9.3
2020-04-26 09:00:00,10.9
2020-04-26 10:00:00,12.2
2020-04-26 11:00:00,13.4
2020-04-26 12:00:00,14.3
2020-04-27 00:00:00,8.8
2020-04-27 01:00:00,7.2
2020-04-27 02:00:00,6.5
2020-04-27 03:00:00,6.3
2020-04-27 04:00:00,5.5
2020-04-27 05:00:00,6.5
2020-04-27 06:00:00,8.0
2020-04-27 07:00:00,8.9
2020-04-27 08:00:00,10.6
2020-04-27 09:00:00,12.5
2020-04-27 10:00:00,13.8
2020-04-27 11:00:00,14.0
2020-04-27 12:00:00,14.4
2020-04-28 00:00:00,9.6
2020-04-28 01:00:00,9.2
2020-04-28 02:00:00,9.0
2020-04-28 03:00:00,8.7
2020-04-28 04:00:00,8.7
2020-04-28 05:00:00,8.5
2020-04-28 06:00:00,8.4
2020-04-28 07:00:00,8.0
2020-04-28 08:00:00,8.1
2020-04-28 09:00:00,8.2
2020-04-28 10:00:00,8.2
2020-04-28 11:00:00,8.3
2020-04-28 12:00:00,8.2
2020-04-29 00:00:00,7.1
2020-04-29 01:00:00,7.2
2020-04-29 02:00:00,7.2
2020-04-29 03:00:00,7.2
2020-04-29 04:00:00,7.3
2020-04-29 05:00:00,7.5
2020-04-29 06:00:00,7.7
2020-04-29 07:00:00,7.5
2020-04-29 08:00:00,8.7
2020-04-29 09:00:00,10.1
2020-04-29 10:00:00,10.6
2020-04-29 11:00:00,10.8
2020-04-29 12:00:00,10.2
2020-04-30 00:00:00,7.8
2020-04-30 01:00:00,7.6
2020-04-30 02:00:00,7.2
2020-04-30 03:00:00,6.6
2020-04-30 04:00:00,6.3
2020-04-30 05:00:00,6.3
2020-04-30 06:00:00,7.3
2020-04-30 07:00:00,8.0
2020-04-30 08:00:00,8.8
2020-04-30 09:00:00,9.4
2020-04-30 10:00:00,10.7
2020-04-30 11:00:00,11.6
2020-04-30 12:00:00,10.8
2020-05-01 00:00:00,7.5
2020-05-01 01:00:00,6.7
2020-05-01 02:00:00,6.7
2020-05-01 03:00:00,7.1
2020-05-01 04:00:00,7.6
2020-05-01 05:00:00,7.7
2020-05-01 06:00:00,8.0
2020-05-01 07:00:00,8.3
2020-05-01 08:00:00,9.0
2020-05-01 09:00:00,9.3
2020-05-01 10:00:00,10.6
2020-05-01 11:00:00,12.0
2020-05-01 12:00:00,13.2
2020-05-02 00:00:00,6.8
2020-05-02 01:00:00,6.2
2020-05-02 02:00:00,6.4
2020-05-02 03:00:00,6.4
2020-05-02 04:00:00,6.0
2020-05-02 05:00:00,6.1
2020-05-02 06:00:00,6.4
2020-05-02 07:00:00,7.4
2020-05-02 08:00:00,8.6
2020-05-02 09:00:00,9.9
2020-05-02 10:00:00,11.1
2020-05-02 11:00:00,12.0
2020-05-02 12:00:00,12.8
2020-05-03 00:00:00,7.1
2020-05-03 01:00:00,6.5
